許可・届出受理番号,事業主名称,事業所名称,事業所所在地,電話番号,派遣労働者数,派遣先件数,得意とする職種
派01-301320,ＫＦホールディングス　株式会社,ＫＦホールディングス　株式会社,北海道新冠郡新冠町字共栄301番地の１,090-3117-5016,,,
派01-301321,株式会社　ノア,株式会社　ノア,北海道札幌市中央区南1条西7丁目16番2　岩倉ビル5階,011-280-8686,,,
派01-301322,株式会社　１３１,株式会社　１３１,北海道札幌市中央区大通西十五丁目1番地12　マンション大通1001号,090-5953-4649,17人,17件,
派01-301324,エイトカラーファームズ　株式会社,エイトカラーファームズ　株式会社,北海道勇払郡むかわ町米原479番地3,0145-47-7811,,,
派01-301325,株式会社　松原建装,株式会社　松原建装　派遣部門,北海道札幌市豊平区中の島2条5丁目1番24号,011-823-6777,,,
派01-301326,株式会社　ヒューマライズ,株式会社　ヒューマライズ,北海道札幌市中央区南1条西8丁目9ｰ1　ＥＣＯＮＥＴ ＢＬＤ.3Ｆ,011-218-6077,,,
派01-301328,有限会社　三恵興業,有限会社　三恵興業,北海道室蘭市日の出町3丁目4番10号　2F,0143-41-1120,20人,1件,
派01-301329,金源貿易　株式会社,金源貿易　株式会社　札幌本社,北海道札幌市豊平区平岸3条5丁目10-25,011-876-0978,,,
派01-301330,株式会社　アシスト,株式会社　アシスト,北海道札幌市中央区大通西9丁目3ｰ33　キタコーセンタービルディング9Ｆ,011-219-0011,,,
派01-301331,オールプランニング心　株式会社,オールプランニング心　株式会社,北海道旭川市末広一条一丁目2番1号,0166-46-6001,36人,1件,
派01-301332,株式会社　シイエヌエス北海道,株式会社　シイエヌエス北海道,北海道札幌市北区北七条西四丁目3番地1　新北海道ビル7階,011-716-1001,,,
派01-301334,株式会社　アイビーソリューションズ,株式会社　アイビーソリューションズ,北海道札幌市中央区南1条西6丁目11番地　札幌北辰ビル5階,011-261-1018,,,
派01-301335,近藤商事　株式会社,近藤商事　株式会社,北海道苫小牧市入船町二丁目9番12号　Fuji　B.L.D　2F,080-1889-6969,0人,1件,
派01-301336,株式会社　ホットスタッフ苫小牧,株式会社　ホットスタッフ苫小牧,北海道苫小牧市旭町三丁目7番6号　グランドール旭町1F,0144-84-5267,,,
派01-301337,株式会社　ホットスタッフ札幌,株式会社　ホットスタッフ札幌,北海道札幌市中央区大通西五丁目8番地　昭和ビル5F,011-598-8520,,,
派01-301338,株式会社　エンビト,エンビト　キャリア,北海道札幌市北区北18条西7丁目2番1号　エルム時館1F,011-707-8835,43人,14件,
派01-301339,オサダ農機　株式会社,オサダ農機　株式会社,北海道富良野市字扇山８７７番地３,0167-39-2500,0人,0件,
派01-301340,株式会社　南富自動車サービスエリア,株式会社　南富自動車サービスエリア,北海道空知郡南富良野町字幾寅７５２番地,0167-52-2511,0人,0件,
派01-301342,柏倉建設　株式会社,柏倉建設　株式会社,北海道札幌市豊平区月寒東二条六丁目2番18号,011-851-9301,1人,1件,
派01-301343,株式会社　アインファーマシーズ,株式会社　アインファーマシーズ,北海道札幌市白石区東札幌五条二丁目4番30号,011-814-1000,,,
派01-301344,エコモット　株式会社,エコモット　株式会社,北海道札幌市中央区北1条東1丁目2番5号　カレスサッポロビル7階,011-558-2211,5人,,
派01-301345,株式会社ＭＩＫ,株式会社ＭＩＫ,北海道札幌市北区北十四条西三丁目2-21,011-299-7361,,,
派01-301346,株式会社　ふくしサービス,株式会社　ふくしサービス,北海道札幌市中央区北四条東二丁目7番地1　シャルム北4条1F,011-251-3008,12人,2件,
派01-301347,グローバルフレッシュ　株式会社,グローバルフレッシュ　株式会社,北海道千歳市千代田町６丁目７番地５Ｆ－Ｂ,0123-27-1600,,,
派01-301348,齊藤　文重,エフエスサポート,北海道札幌市東区東苗穂6条1丁目7番22号,011-788-6040,2人,2件,
派01-301350,川田工業　株式会社,川田工業　株式会社　札幌支店,北海道札幌市中央区北3条西3丁目1番地　札幌北3条ビル　10階,011-223-5925,,,
派01-301351,嶋産業　株式会社,嶋産業　株式会社,北海道芦別市北六条西二丁目8番地の14,0124-22-3239,,,
派01-301352,ニセコ環境　株式会社,ニセコ環境　株式会社,北海道虻田郡倶知安町字峠下,0136-22-0745,,,
派01-301353,株式会社　豊和,株式会社　豊和,北海道苫小牧市字沼ノ端10番地2,0144-56-5307,,,
派01-301357,ニューフロンティア産業　株式会社,ニューフロンティア産業　株式会社,北海道札幌市中央区南八条西十七丁目3番26号,011-520-3020,,,
派01-301358,株式会社　みかみ建設,株式会社　みかみ建設,北海道小樽市塩谷一丁目1番45号,0134-26-3420,1人,1件,
派01-301359,株式会社 濱谷建設,株式会社 濱谷建設,北海道釧路市港町3番6号,0154-42-5380,2人,2件,
派01-301360,株式会社　３ｅｅｅ,Career & Casting Partners,北海道札幌市中央区北4条西6丁目1-3　北4条ビル3F,011-210-8088,0人,1件,
派01-301361,株式会社　伊藤工業,株式会社　伊藤工業,北海道室蘭市港北町3丁目3番15号,0143-55-5011,0人,0件,建築技術者
派01-301362,株式会社　ワークアベニュー,株式会社　ワークアベニュー,北海道函館市西桔梗町828番地1 ,0138-83-2204,,,
派01-301364,札幌エージェント　株式会社,札幌エージェント　株式会社,北海道札幌市中央区南五条西九丁目1016番地23号 ＳＡビル,011-374-5790,,,
派01-301366,有限会社　ＩＸＩＳ,有限会社　ＩＸＩＳ,北海道帯広市東三条南十四丁目18番地3,0155-28-3080,,,
派01-301367,株式会社　ダイナ建設,株式会社　ダイナ建設,北海道網走郡大空町女満別西3条2丁目1番13号,0152-74-2141,11人,1件,
派01-301368,株式会社 ｋａｎｐｒｏ‐ｗｏｒｋ,株式会社 ｋａｎｐｒｏ‐ｗｏｒｋ,北海道札幌市北区北14条西1丁目1‐15　シティハイムジュネス1階101号室,011-676-4378,,,
派01-301369,株式会社　KJKサポート,株式会社　KJKサポート,北海道札幌市東区北25条東18丁目3－24　海外交流事業協同組合3階,011-792-6275,,,
派01-301370,株式会社　Ｍ－ＴＡＳ,株式会社　Ｍ－ＴＡＳ,北海道河東郡音更町すずらん台仲町1丁目1番地,090-1305-4193,,,
派01-301371,株式会社　インプル,株式会社　インプル,北海道札幌市中央区南三条西十丁目1001番地5　福山南三条ビル2階,03-4566-3070,,,
派01-301373,東興アイテック　株式会社,東興アイテック　株式会社　函館本店,北海道函館市西桔梗町820番地2　,0138-49-8571,1人,2件,
派01-301374,株式会社　タイアップ,株式会社　タイアップ,北海道帯広市西1条南8丁目20番地5　佐川ビル3F,090-9751-0826,,,
派01-301376,株式会社　伊達観光物産公社,株式会社　伊達観光物産公社　コミュニティ推進室,北海道伊達市梅本町57番地1　宮尾登美子記念アートホール内,0142-25-6504,0人,0件,
派01-301377,歩　株式会社,歩　株式会社,北海道札幌市中央区南9条西3丁目2番5号　南九条パークビル405号室,080-1975-4567,,,
派01-301378,株式会社　クエスト,株式会社　クエスト,北海道札幌市中央区大通西十六丁目1番地10　ＩＴＣセンタービル3階2号室,011-676-6339,,,
派01-301379,リアルタイム　株式会社,リアルタイム　株式会社,北海道札幌市厚別区厚別中央三条一丁目3番28号,011-887-8521,,,
派01-301380,有限会社　ウィングサービス,有限会社　ウィングサービス,北海道千歳市美々758番地180,0123-24-0055,,,
派01-301381,株式会社　ＪＡＬスカイ札幌,株式会社　ＪＡＬスカイ札幌,北海道千歳市美々新千歳空港内,0123-45-2211,13人,2件,
派01-301382,株式会社　花井組,株式会社　花井組,北海道札幌市西区平和一条四丁目93番地21,011-662-2326,,,
派01-301383,株式会社　ＩＬＵ,株式会社　ＩＬＵ,北海道札幌市北区北37条西4丁目3-12-2F,011-792-6267,,,介護、看護、保育
派01-301384,株式会社　デスティーノ,株式会社　デスティーノ,北海道恵庭市戸磯345番地6,0123-32-6100,12人,1件,物流、配送、事務
派01-301385,株式会社　フレックスヒューマンサービス,株式会社　フレックスヒューマンサービス,北海道札幌市中央区南一条東三丁目9番地2　札幌ＭＩＤビル,011-242-4003,,,
派01-301386,株式会社　わざげん,株式会社　わざげん,北海道札幌市中央区北5条西15丁目1-26　つむぎビル北5条4階401号室,011-271-4768,,,
派01-301387,株式会社　明星システム,株式会社　明星システム,北海道伊達市鹿島町６番地７,0142-82-7782,2人,1件,土木施工管理補助
派01-301388,株式会社　サイバーシスコム,株式会社　サイバーシスコム,北海道札幌市中央区大通西五丁目8番地　昭和ビル8階,011-299-5430,0人,0件,
派01-301389,株式会社　ワタナベパートナーズ,株式会社　ワタナベパートナーズ,北海道札幌市白石区中央二条三丁目1-53　三晃ビル3階,011-827-0111,1人,1件,建築管理派遣、土木管理派遣、工場他派遣
派01-301390,株式会社　ＷｉｎＧｒｏｗ,株式会社　ＷｉｎＧｒｏｗ,北海道札幌市中央区北二条西二丁目34　フージャース札幌ビル10階,011-596-0967,0人,0件,
派01-301391,株式会社　ウイング,株式会社　ウイング,北海道北広島市大曲緑ヶ丘七丁目8番地6,011-376-3000,0人,0件,タクシー運転
派01-301392,フジ美建工業　株式会社,フジ美建工業　株式会社,北海道室蘭市祝津町一丁目5番9号,0143-26-2020,0人,0件,
派01-301393,三協物流荷役　株式会社,三協物流荷役　株式会社,北海道河西郡芽室町東芽室北1線18番地,0155-61-3371,0人,0件,
派01-301394,チュウケイクリエイト　株式会社,チュウケイクリエイト　株式会社,北海道札幌市中央区南2条西7丁目1番地4　ファミリービル4階,011-271-7222,,,
派01-301395,株式会社　Ｓ．Ｉ．Ｃ,株式会社　Ｓ．Ｉ．Ｃ,北海道帯広市西二十四条南一丁目40番地17,0155-66-6475,,,
派01-301397,エンチャント　株式会社,エンチャント　株式会社,北海道札幌市白石区中央1条5丁目5番7号　ピスタビル2F,050-3700-2418,,,
派01-301398,札幌機械メンテナンス　株式会社,ネスレ・ヒューマンサービス,北海道札幌市中央区北6条西22丁目2番3号　チュリス札幌1階,011-215-4341,,,
派01-301399,株式会社　フジアウトソーシング,株式会社　フジアウトソーシング,北海道札幌市北区北6条西6丁目2番地24　第2山崎ビル7階,080-4110-8524,50人,5件,製造業
派01-301401,株式会社　オーテック,株式会社　オーテック,北海道札幌市中央区北一条西十四丁目1ｰ10,011-241-5306,,,
派01-301402,フラワーヒルズ　株式会社,フラワーヒルズ　株式会社　札幌支店,北海道札幌市中央区北4条西4丁目1番地1　ニュー札幌ビル7階4号室,011-596-8190,,,
派01-301403,有限会社　仁興業,有限会社　仁興業,北海道室蘭市中島町四丁目17番23号,0143-45-8960,0人,0件,
派01-301404,株式会社　とまビルサービス,株式会社　とまビルサービス,北海道苫小牧市表町二丁目1番14号　王子不動産第三ビル7階,0144-33-1234,,,
派01-301405,東芝ホクト電子　株式会社,東芝ホクト電子　株式会社,北海道旭川市南五条通二十三丁目1975番地,0166-31-4721,25人,1件,電機械器具製造業
派01-301406,株式会社　一宮,jobpeer,北海道帯広市西5条南5丁目4番地3　マナカビル2F,0155-67-5666,16人,6件,
